"uid","Name (greeting)","Name (survey)","E-mail","elso_szintu_szegmentacio_a","elso_szintu_szegmentacio_b","Department","Hierarchy level","mukodesi_terulet","iranyitasi_szint","Questionnaire language"
"resp36","resp36","resp36","resp36@example.com","üzlet","-","Marketingkommunikációs Ig.","E","országos szintű","Szolgáltatás","Hungarian (formal)"
"resp37","resp37","resp37","resp37@example.com","logisztika","OPERÁCIÓS VIGH","Logisztikai Ig. - üzem, központ","E","nyugati régió","Végrehajtás","Hungarian (formal)"
"resp38","resp38","resp38","resp38@example.com","HR","Humánerőforrás FŐIG","Humán Erőforrás Szolgáltató Kp.","E","központi régió","Szolgáltatás","Hungarian (formal)"
"resp39","resp39","resp39","resp39@example.com","HR","Humánerőforrás FŐIG","Humánerőforrás Főig. közvetlen","E","országos szintű","Társaságirányítás","Hungarian (formal)"
"resp40","resp40","resp40","resp40@example.com","üzlet","VÁLLALATI VIGH","Kiemelt Ügyfelek Értékesítési Ig.","E","országos szintű","Üzleti irányítás","Hungarian (formal)"
"resp41","resp41","resp41","resp41@example.com","logisztika","OPERÁCIÓS VIGH","Logisztikai Ig. - üzem, központ","E","országos szintű","Végrehajtás","Hungarian (formal)"
"resp42","resp42","resp42","resp42@example.com","logisztika","OPERÁCIÓS VIGH","Logisztikai Ig. - üzem, központ","E","országos szintű","Végrehajtás","Hungarian (formal)"
"resp43","resp43","resp43","resp43@example.com","gazdálkodás","GAZDASÁGI VIGH","Forrásallokációs Ig.","E","országos szintű","Társaságirányítás","Hungarian (formal)"
"resp44","resp44","resp44","resp44@example.com","hálózat","LAKOSSÁGI VIGH","Kp.i Területi Ig.","TL","központi régió","Végrehajtás","Hungarian (formal)"
"resp45","resp45","resp45","resp45@example.com","hálózat","LAKOSSÁGI VIGH","Nyugat-magyarországi Területi Ig.","TL","nyugati régió","Végrehajtás","Hungarian (formal)"
"resp46","resp46","resp46","resp46@example.com","hálózat","LAKOSSÁGI VIGH","Kelet-magyarországi Területi Ig.","TL","keleti régió","Végrehajtás","Hungarian (formal)"
"resp47","resp47","resp47","resp47@example.com","logisztika","OPERÁCIÓS VIGH","Logisztikai Ig. - üzem, központ","E","központi régió","Végrehajtás","Hungarian (formal)"
"resp48","resp48","resp48","resp48@example.com","logisztika","OPERÁCIÓS VIGH","Logisztikai Ig. - üzem, központ","E","országos szintű","Végrehajtás","Hungarian (formal)"
"resp49","resp49","resp49","resp49@example.com","logisztika","OPERÁCIÓS VIGH","Logisztikai Ig. - üzem, központ","E","országos szintű","Végrehajtás","Hungarian (formal)"
"resp50","resp50","resp50","resp50@example.com","hálózat","LAKOSSÁGI VIGH","Kelet-magyarországi Területi Ig.","TL","keleti régió","Végrehajtás","Hungarian (formal)"
"resp51","resp51","resp51","resp51@example.com","biztonság","-","Biztonsági Főigazgatóság","E","országos szintű","Társaságirányítás","Hungarian (formal)"
"resp52","resp52","resp52","resp52@example.com","logisztika","OPERÁCIÓS VIGH","Logisztikai Ig. - üzem, központ","E","keleti régió","Végrehajtás","Hungarian (formal)"
"resp53","resp53","resp53","resp53@example.com","hálózat","LAKOSSÁGI VIGH","Kp.i Területi Ig.","TL","központi régió","Végrehajtás","Hungarian (formal)"
"resp54","resp54","resp54","resp54@example.com","hálózat","LAKOSSÁGI VIGH","Kelet-magyarországi Területi Ig.","TL","keleti régió","Végrehajtás","Hungarian (formal)"
"resp55","resp55","resp55","resp55@example.com","logisztika","OPERÁCIÓS VIGH","Logisztikai Ig. - üzem, központ","E","országos szintű","Végrehajtás","Hungarian (formal)"
"resp56","resp56","resp56","resp56@example.com","üzlet","OPERÁCIÓS VIGH","Hírlap Ig.","E","országos szintű","Szolgáltatás","Hungarian (formal)"
"resp57","resp57","resp57","resp57@example.com","logisztika","OPERÁCIÓS VIGH","Logisztikai Ig. - üzem, központ","E","központi régió","Végrehajtás","Hungarian (formal)"
"resp58","resp58","resp58","resp58@example.com","IT","-","Informatikai Vezérig-helyettesi ter.","E","országos szintű","Szolgáltatás","Hungarian (formal)"
"resp59","resp59","resp59","resp59@example.com","hálózat","LAKOSSÁGI VIGH","Kp.i Területi Ig.","MM","központi régió","Végrehajtás","Hungarian (formal)"
"resp60","resp60","resp60","resp60@example.com","gazdálkodás","GAZDASÁGI VIGH","Pénzügyi és Számviteli Ig.","E","országos szintű","Szolgáltatás","Hungarian (formal)"
"resp61","resp61","resp61","resp61@example.com","üzlet","LAKOSSÁGI VIGH","Posta Elszámoló Kp.","E","országos szintű","Végrehajtás","Hungarian (formal)"
"resp62","resp62","resp62","resp62@example.com","hálózat","LAKOSSÁGI VIGH","Nyugat-magyarországi Területi Ig.","TL","nyugati régió","Végrehajtás","Hungarian (formal)"
"resp63","resp63","resp63","resp63@example.com","üzlet","VÁLLALATI VIGH","Vállalati Értékesítési Ig.","E","országos szintű","Üzleti irányítás","Hungarian (formal)"
"resp64","resp64","resp64","resp64@example.com","üzlet","VÁLLALATI VIGH","Vállalati Értékesítési Ig.","E","országos szintű","Üzleti irányítás","Hungarian (formal)"
"resp65","resp65","resp65","resp65@example.com","logisztika","OPERÁCIÓS VIGH","Logisztikai Ig. - üzem, központ","E","keleti régió","Végrehajtás","Hungarian (formal)"
"resp66","resp66","resp66","resp66@example.com","HR","Humánerőforrás FŐIG","Humán Erőforrás Szolgáltató Kp.","E","központi régió","Szolgáltatás","Hungarian (formal)"
"resp67","resp67","resp67","resp67@example.com","hálózat","LAKOSSÁGI VIGH","Nyugat-magyarországi Területi Ig.","MM","nyugati régió","Végrehajtás","Hungarian (formal)"
"resp68","resp68","resp68","resp68@example.com","gazdálkodás","LAKOSSÁGI VIGH","Kp.i Területi Ig.","E","központi régió","Végrehajtás","Hungarian (formal)"
"resp69","resp69","resp69","resp69@example.com","logisztika","OPERÁCIÓS VIGH","Logisztikai Ig. - üzem, központ","E","országos szintű","Végrehajtás","Hungarian (formal)"
"resp70","resp70","resp70","resp70@example.com","HR","LAKOSSÁGI VIGH","Kelet-magyarországi Területi Ig.","E","keleti régió","Végrehajtás","Hungarian (formal)"
"resp71","resp71","resp71","resp71@example.com","hálózat","LAKOSSÁGI VIGH","Kelet-magyarországi Területi Ig.","TL","keleti régió","Végrehajtás","Hungarian (formal)"
"resp72","resp72","resp72","resp72@example.com","logisztika","OPERÁCIÓS VIGH","Logisztikai Ig. - üzem, központ","E","országos szintű","Végrehajtás","Hungarian (formal)"
"resp73","resp73","resp73","resp73@example.com","hálózat","LAKOSSÁGI VIGH","Kelet-magyarországi Területi Ig.","TL","keleti régió","Végrehajtás","Hungarian (formal)"
"resp74","resp74","resp74","resp74@example.com","üzlet","VÁLLALATI VIGH","Csomag Termékmenedzsment Ig.","E","országos szintű","Üzleti irányítás","Hungarian (formal)"
"resp75","resp75","resp75","resp75@example.com","logisztika","OPERÁCIÓS VIGH","Logisztikai Ig. - üzem, központ","E","országos szintű","Végrehajtás","Hungarian (formal)"
"resp76","resp76","resp76","resp76@example.com","hálózat","LAKOSSÁGI VIGH","Kelet-magyarországi Területi Ig.","TL","keleti régió","Végrehajtás","Hungarian (formal)"
"resp77","resp77","resp77","resp77@example.com","logisztika","OPERÁCIÓS VIGH","Logisztikai Ig. - üzem, központ","E","országos szintű","Végrehajtás","Hungarian (formal)"
"resp78","resp78","resp78","resp78@example.com","logisztika","OPERÁCIÓS VIGH","Logisztikai Ig. - üzem, központ","E","országos szintű","Végrehajtás","Hungarian (formal)"
"resp79","resp79","resp79","resp79@example.com","üzlet","LAKOSSÁGI VIGH","Ügyfélszolgálati Ig.","E","országos szintű","Üzleti irányítás","Hungarian (formal)"
"resp80","resp80","resp80","resp80@example.com","üzlet","-","Marketingkommunikációs Ig.","E","országos szintű","Szolgáltatás","Hungarian (formal)"
"resp81","resp81","resp81","resp81@example.com","HR","Humánerőforrás FŐIG","Humán Erőforrás Szolgáltató Kp.","E","központi régió","Szolgáltatás","Hungarian (formal)"
"resp82","resp82","resp82","resp82@example.com","hálózat","LAKOSSÁGI VIGH","Kelet-magyarországi Területi Ig.","MM","keleti régió","Végrehajtás","Hungarian (formal)"
"resp83","resp83","resp83","resp83@example.com","HR","Humánerőforrás FŐIG","Humán Erőforrás Szolgáltató Kp.","E","országos szintű","Szolgáltatás","Hungarian (formal)"
"resp84","resp84","resp84","resp84@example.com","hálózat","LAKOSSÁGI VIGH","Nyugat-magyarországi Területi Ig.","MM","nyugati régió","Végrehajtás","Hungarian (formal)"
"resp85","resp85","resp85","resp85@example.com","logisztika","OPERÁCIÓS VIGH","Logisztikai Ig. - üzem, központ","MM","országos szintű","Végrehajtás","Hungarian (formal)"
"resp86","resp86","resp86","resp86@example.com","logisztika","OPERÁCIÓS VIGH","Logisztikai Ig. - üzem, központ","E","országos szintű","Végrehajtás","Hungarian (formal)"
"resp87","resp87","resp87","resp87@example.com","logisztika","OPERÁCIÓS VIGH","Logisztikai Ig. - üzem, központ","E","országos szintű","Végrehajtás","Hungarian (formal)"
"resp88","resp88","resp88","resp88@example.com","hálózat","LAKOSSÁGI VIGH","Nyugat-magyarországi Területi Ig.","TL","nyugati régió","Végrehajtás","Hungarian (formal)"
"resp89","resp89","resp89","resp89@example.com","üzlet","LAKOSSÁGI VIGH","Pénzforgalmi Értékesítési Ig.","E","országos szintű","Üzleti irányítás","Hungarian (formal)"
"resp90","resp90","resp90","resp90@example.com","üzlet","VÁLLALATI VIGH","Kiemelt Ügyfelek Értékesítési Ig.","TL","országos szintű","Üzleti irányítás","Hungarian (formal)"
"resp91","resp91","resp91","resp91@example.com","hálózat","LAKOSSÁGI VIGH","Kp.i Területi Ig.","MM","központi régió","Végrehajtás","Hungarian (formal)"
"resp92","resp92","resp92","resp92@example.com","biztonság","-","Biztonsági Főigazgatóság","E","országos szintű","Társaságirányítás","Hungarian (formal)"
"resp93","resp93","resp93","resp93@example.com","logisztika","OPERÁCIÓS VIGH","Logisztikai Ig. közvetlen","E","országos szintű","Üzleti irányítás","Hungarian (formal)"
"resp94","resp94","resp94","resp94@example.com","logisztika","OPERÁCIÓS VIGH","Logisztikai Ig. - üzem, központ","E","keleti régió","Végrehajtás","Hungarian (formal)"
"resp95","resp95","resp95","resp95@example.com","HR","LAKOSSÁGI VIGH","Kelet-magyarországi Területi Ig.","E","keleti régió","Végrehajtás","Hungarian (formal)"
"resp96","resp96","resp96","resp96@example.com","hálózat","LAKOSSÁGI VIGH","Kp.i Területi Ig.","MM","központi régió","Üzleti irányítás","Hungarian (formal)"
"resp97","resp97","resp97","resp97@example.com","hálózat","LAKOSSÁGI VIGH","Kelet-magyarországi Területi Ig.","TL","keleti régió","Végrehajtás","Hungarian (formal)"
"resp98","resp98","resp98","resp98@example.com","logisztika","OPERÁCIÓS VIGH","Logisztikai Ig. - üzem, központ","E","országos szintű","Végrehajtás","Hungarian (formal)"
"resp99","resp99","resp99","resp99@example.com","üzlet","VÁLLALATI VIGH","Vállalati Értékesítési Ig.","E","országos szintű","Üzleti irányítás","Hungarian (formal)"
"resp100","resp100","resp100","resp100@example.com","üzlet","OPERÁCIÓS VIGH","Hírlap Ig.","E","országos szintű","Végrehajtás","Hungarian (formal)"
"resp101","resp101","resp101","resp101@example.com","hálózat","LAKOSSÁGI VIGH","Kelet-magyarországi Területi Ig.","MM","keleti régió","Végrehajtás","Hungarian (formal)"
"resp102","resp102","resp102","resp102@example.com","gazdálkodás","OPERÁCIÓS VIGH","Társasági Szolgáltatások Ig.","E","országos szintű","Szolgáltatás","Hungarian (formal)"
"resp103","resp103","resp103","resp103@example.com","hálózat","LAKOSSÁGI VIGH","Kp.i Területi Ig.","TL","központi régió","Végrehajtás","Hungarian (formal)"
"resp104","resp104","resp104","resp104@example.com","logisztika","OPERÁCIÓS VIGH","Logisztikai Ig. - üzem, központ","E","országos szintű","Végrehajtás","Hungarian (formal)"
"resp105","resp105","resp105","resp105@example.com","logisztika","OPERÁCIÓS VIGH","Logisztikai Ig. - üzem, központ","TL","keleti régió","Végrehajtás","Hungarian (formal)"
"resp106","resp106","resp106","resp106@example.com","üzlet","VÁLLALATI VIGH","Levél Termékmenedzsment Ig.","E","országos szintű","Üzleti irányítás","Hungarian (formal)"
"resp107","resp107","resp107","resp107@example.com","üzlet","LAKOSSÁGI VIGH","Posta Elszámoló Kp.","E","országos szintű","Végrehajtás","Hungarian (formal)"
"resp108","resp108","resp108","resp108@example.com","logisztika","OPERÁCIÓS VIGH","Logisztikai Ig. - üzem, központ","E","nyugati régió","Végrehajtás","Hungarian (formal)"
"resp109","resp109","resp109","resp109@example.com","IT","-","Informatikai Vezérig-helyettesi ter.","E","országos szintű","Szolgáltatás","Hungarian (formal)"
"resp110","resp110","resp110","resp110@example.com","logisztika","OPERÁCIÓS VIGH","Logisztikai Ig. - üzem, központ","E","országos szintű","Végrehajtás","Hungarian (formal)"
"resp111","resp111","resp111","resp111@example.com","logisztika","OPERÁCIÓS VIGH","Logisztikai Ig. - üzem, központ","E","központi régió","Végrehajtás","Hungarian (formal)"
"resp112","resp112","resp112","resp112@example.com","logisztika","OPERÁCIÓS VIGH","Logisztikai Ig. - üzem, központ","E","keleti régió","Végrehajtás","Hungarian (formal)"
"resp113","resp113","resp113","resp113@example.com","üzlet","VÁLLALATI VIGH","Vállalati Értékesítési Ig.","TL","országos szintű","Üzleti irányítás","Hungarian (formal)"
"resp114","resp114","resp114","resp114@example.com","hálózat","LAKOSSÁGI VIGH","Nyugat-magyarországi Területi Ig.","TL","nyugati régió","Végrehajtás","Hungarian (formal)"
"resp115","resp115","resp115","resp115@example.com","gazdálkodás","GAZDASÁGI VIGH","Pénzügyi és Számviteli Ig.","E","országos szintű","Szolgáltatás","Hungarian (formal)"
"resp116","resp116","resp116","resp116@example.com","logisztika","OPERÁCIÓS VIGH","Logisztikai Ig. - üzem, központ","E","országos szintű","Végrehajtás","Hungarian (formal)"
"resp117","resp117","resp117","resp117@example.com","hálózat","LAKOSSÁGI VIGH","Kelet-magyarországi Területi Ig.","TL","keleti régió","Végrehajtás","Hungarian (formal)"
"resp118","resp118","resp118","resp118@example.com","logisztika","OPERÁCIÓS VIGH","Logisztikai Ig. - üzem, központ","E","országos szintű","Végrehajtás","Hungarian (formal)"
"resp119","resp119","resp119","resp119@example.com","logisztika","OPERÁCIÓS VIGH","Logisztikai Ig. - üzem, központ","E","országos szintű","Végrehajtás","Hungarian (formal)"
"resp120","resp120","resp120","resp120@example.com","HR","Humánerőforrás FŐIG","Humán Erőforrás Szolgáltató Kp.","E","központi régió","Szolgáltatás","Hungarian (formal)"
"resp121","resp121","resp121","resp121@example.com","logisztika","OPERÁCIÓS VIGH","Logisztikai Ig. - üzem, központ","E","keleti régió","Végrehajtás","Hungarian (formal)"
"resp122","resp122","resp122","resp122@example.com","biztonság","-","Biztonsági Főigazgatóság","E","nyugati régió","Szolgáltatás","Hungarian (formal)"
"resp123","resp123","resp123","resp123@example.com","hálózat","LAKOSSÁGI VIGH","Nyugat-magyarországi Területi Ig.","TL","nyugati régió","Végrehajtás","Hungarian (formal)"
"resp124","resp124","resp124","resp124@example.com","HR","LAKOSSÁGI VIGH","Kp.i Területi Ig.","E","központi régió","Végrehajtás","Hungarian (formal)"
"resp125","resp125","resp125","resp125@example.com","hálózat","LAKOSSÁGI VIGH","Nyugat-magyarországi Területi Ig.","TL","nyugati régió","Végrehajtás","Hungarian (formal)"
"resp126","resp126","resp126","resp126@example.com","gazdálkodás","GAZDASÁGI VIGH","Kontrolling Ig.","E","országos szintű","Társaságirányítás","Hungarian (formal)"
"resp127","resp127","resp127","resp127@example.com","logisztika","OPERÁCIÓS VIGH","Logisztikai Ig. - üzem, központ","E","országos szintű","Végrehajtás","Hungarian (formal)"
"resp128","resp128","resp128","resp128@example.com","törzskari","Törzskari FŐIG","Adatmenedzsment és Dok. Kp.","E","országos szintű","Szolgáltatás","Hungarian (formal)"
"resp129","resp129","resp129","resp129@example.com","hálózat","LAKOSSÁGI VIGH","Kp.i Területi Ig.","MM","központi régió","Végrehajtás","Hungarian (formal)"
"resp130","resp130","resp130","resp130@example.com","gazdálkodás","GAZDASÁGI VIGH","Pénzügyi és Számviteli Ig.","E","országos szintű","Szolgáltatás","Hungarian (formal)"
"resp131","resp131","resp131","resp131@example.com","gazdálkodás","OPERÁCIÓS VIGH","Társasági Szolgáltatások Ig.","E","központi régió","Szolgáltatás","Hungarian (formal)"
"resp132","resp132","resp132","resp132@example.com","hálózat","LAKOSSÁGI VIGH","Kelet-magyarországi Területi Ig.","MM","keleti régió","Végrehajtás","Hungarian (formal)"
"resp133","resp133","resp133","resp133@example.com","IT","-","Informatikai Vezérig-helyettesi ter.","E","országos szintű","Szolgáltatás","Hungarian (formal)"
"resp134","resp134","resp134","resp134@example.com","hálózat","LAKOSSÁGI VIGH","Kp.i Területi Ig.","TL","központi régió","Végrehajtás","Hungarian (formal)"
"resp135","resp135","resp135","resp135@example.com","hálózat","LAKOSSÁGI VIGH","Nyugat-magyarországi Területi Ig.","TL","nyugati régió","Végrehajtás","Hungarian (formal)"
"resp136","resp136","resp136","resp136@example.com","hálózat","LAKOSSÁGI VIGH","Kp.i Területi Ig.","TL","központi régió","Végrehajtás","Hungarian (formal)"
"resp137","resp137","resp137","resp137@example.com","logisztika","OPERÁCIÓS VIGH","Logisztikai Ig. - üzem, központ","TL","nyugati régió","Végrehajtás","Hungarian (formal)"
"resp138","resp138","resp138","resp138@example.com","HR","LAKOSSÁGI VIGH","Kp.i Területi Ig.","E","központi régió","Végrehajtás","Hungarian (formal)"
"resp139","resp139","resp139","resp139@example.com","hálózat","LAKOSSÁGI VIGH","Kp.i Területi Ig.","TL","központi régió","Végrehajtás","Hungarian (formal)"
"resp140","resp140","resp140","resp140@example.com","hálózat","LAKOSSÁGI VIGH","Kp.i Területi Ig.","TL","központi régió","Végrehajtás","Hungarian (formal)"
"resp141","resp141","resp141","resp141@example.com","hálózat","LAKOSSÁGI VIGH","Nyugat-magyarországi Területi Ig.","TL","nyugati régió","Végrehajtás","Hungarian (formal)"
"resp142","resp142","resp142","resp142@example.com","gazdálkodás","GAZDASÁGI VIGH","Pénzügyi és Számviteli Ig.","TL","országos szintű","Társaságirányítás","Hungarian (formal)"
"resp143","resp143","resp143","resp143@example.com","logisztika","OPERÁCIÓS VIGH","Logisztikai Ig. - üzem, központ","TL","keleti régió","Végrehajtás","Hungarian (formal)"
"resp144","resp144","resp144","resp144@example.com","hálózat","LAKOSSÁGI VIGH","Kelet-magyarországi Területi Ig.","MM","keleti régió","Végrehajtás","Hungarian (formal)"
"resp145","resp145","resp145","resp145@example.com","logisztika","OPERÁCIÓS VIGH","Logisztikai Ig. közvetlen","E","országos szintű","Üzleti irányítás","Hungarian (formal)"
"resp146","resp146","resp146","resp146@example.com","üzlet","LAKOSSÁGI VIGH","Posta Elszámoló Kp.","E","országos szintű","Végrehajtás","Hungarian (formal)"
"resp147","resp147","resp147","resp147@example.com","üzlet","VÁLLALATI VIGH","Vállalati Értékesítési Ig.","E","országos szintű","Üzleti irányítás","Hungarian (formal)"
"resp148","resp148","resp148","resp148@example.com","hálózat","LAKOSSÁGI VIGH","Kp.i Területi Ig.","TL","központi régió","Végrehajtás","Hungarian (formal)"
"resp149","resp149","resp149","resp149@example.com","üzlet","LAKOSSÁGI VIGH","Ügyfélszolgálati Ig.","E","országos szintű","Üzleti irányítás","Hungarian (formal)"
"resp150","resp150","resp150","resp150@example.com","logisztika","OPERÁCIÓS VIGH","Logisztikai Ig. - üzem, központ","E","keleti régió","Üzleti irányítás","Hungarian (formal)"
"resp151","resp151","resp151","resp151@example.com","hálózat","LAKOSSÁGI VIGH","Kelet-magyarországi Területi Ig.","TL","keleti régió","Végrehajtás","Hungarian (formal)"
"resp152","resp152","resp152","resp152@example.com","HR","LAKOSSÁGI VIGH","Nyugat-magyarországi Területi Ig.","E","nyugati régió","Végrehajtás","Hungarian (formal)"
"resp153","resp153","resp153","resp153@example.com","hálózat","LAKOSSÁGI VIGH","Nyugat-magyarországi Területi Ig.","MM","nyugati régió","Végrehajtás","Hungarian (formal)"
"resp154","resp154","resp154","resp154@example.com","üzlet","OPERÁCIÓS VIGH","Hírlap Ig.","E","országos szintű","Szolgáltatás","Hungarian (formal)"
"resp155","resp155","resp155","resp155@example.com","gazdálkodás","LAKOSSÁGI VIGH","Kelet-magyarországi Területi Ig.","E","keleti régió","Végrehajtás","Hungarian (formal)"
"resp156","resp156","resp156","resp156@example.com","hálózat","LAKOSSÁGI VIGH","Kelet-magyarországi Területi Ig.","TL","keleti régió","Végrehajtás","Hungarian (formal)"
"resp157","resp157","resp157","resp157@example.com","hálózat","LAKOSSÁGI VIGH","Nyugat-magyarországi Területi Ig.","TL","nyugati régió","Végrehajtás","Hungarian (formal)"
"resp158","resp158","resp158","resp158@example.com","ellenőrzés","LAKOSSÁGI VIGH","Kp.i Területi Ig.","E","központi régió","Üzleti irányítás","Hungarian (formal)"
"resp159","resp159","resp159","resp159@example.com","üzlet","OPERÁCIÓS VIGH","Hírlap Ig.","E","országos szintű","Szolgáltatás","Hungarian (formal)"
"resp160","resp160","resp160","resp160@example.com","üzlet","VÁLLALATI VIGH","Vállalati Értékesítési Ig.","E","országos szintű","Üzleti irányítás","Hungarian (formal)"
"resp161","resp161","resp161","resp161@example.com","logisztika","OPERÁCIÓS VIGH","Logisztikai Ig. - üzem, központ","E","országos szintű","Végrehajtás","Hungarian (formal)"
